"School Environmental Safety Incidents, Rate Per 1,000 K-12 Students",,,,,,,,,,,,,,,,,,,,
,2023,,2022,,2021,,2020,,2019,,2018,,2017,,2016,,2015,,2014,
County,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
Seminole,2594,39.6,2158,33.0,1083,16.6,1074,16.1,1448,21.6,1271,19.1,1156,17.4,1159,17.6,1260,19.1,1173,18.1
Sumter,429,46.9,376,43.4,237,28.0,208,24.0,327,38.2,236,28.0,258,30.9,265,32.0,249,30,192,23.2
Suwannee,341,59.8,254,44.9,213,38.5,134,23.4,177,30.6,92,15.5,73,12.4,85,14.5,50,8.3,81,13.5
Taylor,152,59.4,121,47.4,113,44.2,46,17.7,65,25.3,30,11.3,48,18.1,72,26.7,47,15.5,50,16.5
Union,191,82.5,160,69.4,96,41.8,64,27.2,40,17.4,43,18.9,38,16.6,58,25.4,30,12.6,58,24.5
Volusia,5003,80.6,5047,82.0,3023,50.2,2439,39.4,2581,41.5,2052,33.1,1834,29.5,1810,29.1,2124,34.4,2211,36.1
Wakulla,323,65.9,262,54.7,277,58.8,205,42.6,192,40.3,103,21.2,72,14.9,80,16.7,106,20.6,129,25.4
Walton,392,35.0,320,29.9,217,21.6,220,21.7,243,25.4,237,25.8,121,13.6,185,21.5,117,13.9,120,14.9
Washington,131,41.3,127,39.3,78,23.7,74,22.1,71,21.4,48,14.8,46,14.7,66,20.4,75,22.6,40,12.1
Unknown,114,,160,,87,,64,,146,,87,,88,,100,,72,,122,
